OBJECTID,gridcode,DNR12DIG,Shape_Leng,Shape_Area,Acres,Land_Use,pollution,total_N,total_P,total_S
154,15,21402050816,1262145.06122,2472658.03155,611.007106123,15,92402.60465898128,6598.876746128401,262.73305563289,85540.99485722
155,15,21402050818,1698797.1177,3409764.94211,842.571266733,15,127422.05266803158,9099.769680716401,362.30564469519,117959.97734262
156,15,21402050821,334578.160882,617409.78673,152.565280871,15,23072.44742612133,1647.7050334068,65.60307077453,21359.13932194
157,15,21402050822,3131195.38405,6282755.55778,1552.50270877,15,234784.98464728708,16767.029254716002,667.5761647711,217350.3792278
158,15,21402050823,303934.428309,852211.770254,210.586114579,15,31846.938107782167,2274.3300374532,90.55202926897,29482.05604106
159,15,21402050824,697728.412589,1906079.49219,471.002500025,15,71229.70807878075,5086.82700027,202.53107501075002,65940.3500035
160,15,21402050825,692716.911873,1961117.8826,484.602782482,15,73286.47879475285,5233.7100508056,208.37919646726,67844.38954748001
161,15,21402050826,320074.203565,739135.272338,182.644303427,15,27621.29800726521,1972.5584770116002,78.53705047361001,25570.20247978
162,16,21402050808,3998.25749417,8066.41876832,1.99325548682,16,301.4400272717886,21.527159257656002,0.8570998593326,279.05576815480003
163,16,21402050811,7428.72131792,46492.8168846,11.4886252518,16,1737.4247968297138,124.07715271944001,4.940108858274,1608.4075352520001
164,16,21402050814,2450.62478965,11766.3115013,2.90751889199,16,439.7040820356477,31.401204033492004,1.2502331235557,407.0526448786
165,16,21402050815,15883.151793,109398.530136,27.0329655213,16,4088.195375786199,291.95602763004,11.624175174159,3784.615172982
166,16,21402050816,10113.3480957,28170.8759661,6.96117505188,16,1052.7385030958123,75.180690560304,2.9933052723083997,974.5645072632
167,16,21402050818,4535.42024463,30243.7531426,7.47339415731,16,1130.2013984099913,80.712656898948,3.2135594876432996,1046.2751820234
168,16,21402050821,944.254303282,2206.61880211,0.545267380849,16,82.46078600579426,5.8888877131692,0.23446497376506997,76.33743331886
169,16,21402050822,22217.8706275,102034.826085,25.2133546226,16,3813.0156195757977,272.30422992408,10.841742487718,3529.869647164
170,16,21402050823,9245.30782111,97428.7003736,24.0751561717,16,3640.885867846191,260.01168665436006,10.352317153831,3370.5218640380003
171,16,21402050824,195544.11283,3482744.03814,860.604794097,16,130149.2630112893,9294.5317762476,370.06006146171,120484.67117357999
172,16,21402050825,30752.3352002,189192.949043,46.7505958442,16,7070.092609518366,504.90643511736005,20.102756213006,6545.083418188
173,16,21402050826,8231.21568133,90779.0208281,22.431984571,16,3392.3890266723297,242.26543336680004,9.64575336553,3140.47783994
